platform,globalsale,year,id
XB,0.18,2008,XB-2008
XB,0,2009,XB-2009
XB,0,2010,XB-2010
XB,0,2011,XB-2011
XB,0,2012,XB-2012
XB,0,2013,XB-2013
XB,0,2014,XB-2014
XB,0,2015,XB-2015
XB,0,2016,XB-2016
XB,0,2017,XB-2017
XB,0,2018,XB-2018
XB,0,2019,XB-2019
XB,0,2020,XB-2020
PC,17.16,2009,PC-2009
PC,24.46,2010,PC-2010
PC,35.25,2011,PC-2011
PC,23.53,2012,PC-2012
PC,12.83,2013,PC-2013
PC,13.39,2014,PC-2014
PC,8.07,2015,PC-2015
PC,2.6,2016,PC-2016
PC,0,2017,PC-2017
PC,0,2018,PC-2018
PC,0,2019,PC-2019
PC,0,2020,PC-2020
2600,28.86,1982,2600-1982
2600,5.83,1983,2600-1983
2600,0.27,1984,2600-1984
2600,0.45,1985,2600-1985
2600,0.66,1986,2600-1986
2600,1.98,1987,2600-1987
2600,0.75,1988,2600-1988
2600,0.62,1989,2600-1989
2600,0,1990,2600-1990
2600,0,1991,2600-1991
2600,0,1992,2600-1992
2600,0,1993,2600-1993
2600,0,1994,2600-1994
2600,0,1995,2600-1995
2600,0,1996,2600-1996
2600,0,1997,2600-1997
2600,0,1998,2600-1998
2600,0,1999,2600-1999
2600,0,2000,2600-2000
2600,0,2001,2600-2001
2600,0,2002,2600-2002
2600,0,2003,2600-2003
2600,0,2004,2600-2004
2600,0,2005,2600-2005
2600,0,2006,2600-2006
2600,0,2007,2600-2007
2600,0,2008,2600-2008
2600,0,2009,2600-2009
2600,0,2010,2600-2010
2600,0,2011,2600-2011
2600,0,2012,2600-2012
2600,0,2013,2600-2013
2600,0,2014,2600-2014
2600,0,2015,2600-2015
2600,0,2016,2600-2016
2600,0,2017,2600-2017
2600,0,2018,2600-2018
2600,0,2019,2600-2019
2600,0,2020,2600-2020
PSP,44.23,2005,PSP-2005
PSP,55.85,2006,PSP-2006
PSP,47.48,2007,PSP-2007
PSP,34.68,2008,PSP-2008
PSP,38.07,2009,PSP-2009
PSP,35.11,2010,PSP-2010
PSP,17.89,2011,PSP-2011
PSP,7.72,2012,PSP-2012
PSP,3.19,2013,PSP-2013
PSP,0.24,2014,PSP-2014
PSP,0.12,2015,PSP-2015
PSP,0,2016,PSP-2016
PSP,0,2017,PSP-2017
PSP,0,2018,PSP-2018
PSP,0,2019,PSP-2019
PSP,0,2020,PSP-2020
XOne,57.66,2015,XOne-2015
XOne,12.37,2016,XOne-2016
XOne,0,2017,XOne-2017
XOne,0,2018,XOne-2018
XOne,0,2019,XOne-2019
XOne,0,2020,XOne-2020
GC,26.3,2001,GC-2001
GC,51.93,2002,GC-2002
GC,50.66,2003,GC-2003
GC,28.89,2004,GC-2004
GC,27.8,2005,GC-2005
GC,11.29,2006,GC-2006
GC,0.27,2007,GC-2007
GC,0,2008,GC-2008
GC,0,2009,GC-2009
GC,0,2010,GC-2010
GC,0,2011,GC-2011
GC,0,2012,GC-2012
GC,0,2013,GC-2013
GC,0,2014,GC-2014
GC,0,2015,GC-2015
GC,0,2016,GC-2016
GC,0,2017,GC-2017
GC,0,2018,GC-2018
GC,0,2019,GC-2019
GC,0,2020,GC-2020
WiiU,22.51,2014,WiiU-2014
WiiU,16.38,2015,WiiU-2015
WiiU,3.29,2016,WiiU-2016
WiiU,0,2017,WiiU-2017
WiiU,0,2018,WiiU-2018
WiiU,0,2019,WiiU-2019
WiiU,0,2020,WiiU-2020
PS,94.68,1996,PS-1996
PS3,73.81,2007,PS3-2007
XB,22.24,2001,XB-2001
XB,48.15,2002,XB-2002
XB,55.16,2003,XB-2003
PC,10.46,2004,PC-2004
PC,4.47,2005,PC-2005
PC,2.97,2006,PC-2006
PC,9.4,2007,PC-2007
PC,12.67,2008,PC-2008
X360,51.88,2006,X360-2006
GEN,12.66,1992,GEN-1992
GEN,0.65,1993,GEN-1993
GEN,8.11,1994,GEN-1994
GEN,0,1995,GEN-1995
GEN,0,1996,GEN-1996
GEN,0,1997,GEN-1997
GEN,0,1998,GEN-1998
GEN,0,1999,GEN-1999
GEN,0,2000,GEN-2000
GEN,0,2001,GEN-2001
GEN,0,2002,GEN-2002
GEN,0,2003,GEN-2003
GEN,0,2004,GEN-2004
GEN,0,2005,GEN-2005
GEN,0,2006,GEN-2006
GEN,0,2007,GEN-2007
GEN,0,2008,GEN-2008
GEN,0,2009,GEN-2009
GEN,0,2010,GEN-2010
GEN,0,2011,GEN-2011
GEN,0,2012,GEN-2012
GEN,0,2013,GEN-2013
GEN,0,2014,GEN-2014
GEN,0,2015,GEN-2015
GEN,0,2016,GEN-2016
GEN,0,2017,GEN-2017
GEN,0,2018,GEN-2018
GEN,0,2019,GEN-2019
GEN,0,2020,GEN-2020
GBA,61.62,2001,GBA-2001
WiiU,17.84,2012,WiiU-2012
WiiU,21.84,2013,WiiU-2013
XOne,52.43,2014,XOne-2014
PC,10.59,1996,PC-1996
PC,11.26,1997,PC-1997
PC,3.28,1998,PC-1998
PC,4.75,1999,PC-1999
PC,4.68,2000,PC-2000
PC,5.51,2001,PC-2001
PC,8.6,2002,PC-2002
PC,8.96,2003,PC-2003
2600,35.77,1981,2600-1981
PS3,21.07,2006,PS3-2006
GEN,4.34,1991,GEN-1991
2600,11.38,1980,2600-1980
PC,4.23,1995,PC-1995
PS2,39.11,2000,PS2-2000
PS,35.92,1995,PS-1995
PS4,24.76,2013,PS4-2013
PC,12.85,1994,PC-1994
NES,10.96,1983,NES-1983
XOne,18.6,2013,XOne-2013
GEN,2.6,1990,GEN-1990
DC,3.39,1998,DC-1998
DC,5.17,1999,DC-1999
DC,5.99,2000,DC-2000
DC,1.07,2001,DC-2001
DC,0.29,2002,DC-2002
DC,0,2003,DC-2003
DC,0,2004,DC-2004
DC,0,2005,DC-2005
DC,0,2006,DC-2006
DC,0.02,2007,DC-2007
DC,0.04,2008,DC-2008
DC,0,2009,DC-2009
