日期,省份,确诊人数,治愈人数,死亡人数,新增确诊,新增治愈,新增死亡,现有确诊,扩散指数
1月27日,河北,33,0,1,15,0,0,32,0.882352941
1月28日,河北,48,0,1,15,0,0,47,0.46875
1月29日,河北,65,0,1,17,0,0,64,0.361702128
1月30日,河北,82,0,1,17,0,0,81,0.265625
1月31日,河北,96,0,1,14,0,0,95,0.172839506
2月1日,河北,104,3,1,8,3,0,100,0.084210526
2月2日,河北,113,3,1,9,0,0,109,0.09
2月3日,河北,126,3,1,13,0,0,122,0.119266055
2月4日,河北,135,4,1,9,1,0,130,0.073770492
2月5日,河北,157,7,1,22,3,0,149,0.169230769
2月6日,河北,172,16,1,15,9,0,155,0.100671141
2月7日,河北,195,25,1,23,9,0,169,0.148387097
2月8日,河北,206,30,2,11,5,1,174,0.065088757
2月9日,河北,218,35,2,12,5,0,181,0.068965517
2月10日,河北,239,41,2,21,6,0,196,0.116022099
2月11日,河北,251,48,2,12,7,0,201,0.06122449
2月12日,河北,265,54,3,14,6,1,208,0.069651741
2月13日,河北,283,69,3,18,15,0,211,0.086538462
2月14日,河北,291,86,3,8,17,0,202,0.037914692
2月15日,河北,300,100,3,9,14,0,197,0.044554455
1月21日,河南,5,0,0,0,0,0,5,0
1月22日,河南,5,0,0,0,0,0,5,0
1月23日,河南,9,0,0,4,0,0,9,0.8
1月24日,河南,32,0,0,23,0,0,32,2.555555556
1月25日,河南,83,0,1,51,0,1,82,1.59375
1月26日,河南,128,0,1,45,0,0,127,0.548780488
1月27日,河南,168,0,1,40,0,0,167,0.31496063
1月28日,河南,206,0,2,38,0,1,204,0.22754491
1月29日,河南,278,2,2,72,2,0,274,0.352941176
1月30日,河南,352,3,2,74,1,0,347,0.270072993
1月31日,河南,422,3,2,70,0,0,417,0.201729107
2月1日,河南,493,12,2,71,9,0,479,0.170263789
2月2日,河南,566,15,2,73,3,0,549,0.152400835
2月3日,河南,675,20,2,109,5,0,653,0.198542805
2月4日,河南,764,41,2,89,21,0,721,0.136294028
2月5日,河南,851,49,2,87,8,0,800,0.120665742
2月6日,河南,914,84,3,63,35,1,827,0.07875
2月7日,河南,981,97,4,67,13,1,880,0.081015719
2月8日,河南,1033,131,6,52,34,2,896,0.059090909
2月9日,河南,1073,181,6,40,50,0,886,0.044642857
2月10日,河南,1105,198,7,32,17,1,900,0.036117381
2月11日,河南,1135,231,8,30,33,1,896,0.033333333
2月12日,河南,1169,258,10,34,27,2,901,0.037946429
2月13日,河南,1184,313,11,15,55,1,860,0.016648169
2月14日,河南,1212,356,13,28,43,2,843,0.03255814
2月15日,河南,1231,397,13,19,41,0,821,0.022538553
1月21日,黑龙江,0,0,0,0,0,0,0,0
1月22日,黑龙江,2,0,0,2,0,0,2,#DIV/0!
1月23日,黑龙江,4,0,1,2,0,1,3,1
1月24日,黑龙江,9,0,1,5,0,0,8,1.666666667
1月25日,黑龙江,15,0,1,6,0,0,14,0.75
1月26日,黑龙江,21,0,1,6,0,0,20,0.428571429
1月27日,黑龙江,30,0,1,9,0,0,29,0.45
1月28日,黑龙江,38,0,1,8,0,0,37,0.275862069
1月29日,黑龙江,44,0,2,6,0,1,42,0.162162162
1月30日,黑龙江,59,0,2,15,0,0,57,0.357142857
1月31日,黑龙江,80,0,2,21,0,0,78,0.368421053
2月1日,黑龙江,95,2,2,15,2,0,91,0.192307692
2月2日,黑龙江,121,2,2,26,0,0,117,0.285714286
2月3日,黑龙江,155,2,2,34,0,0,151,0.290598291
2月4日,黑龙江,190,4,2,35,2,0,184,0.231788079
2月5日,黑龙江,227,7,3,37,3,1,217,0.201086957
2月6日,黑龙江,277,12,3,50,5,0,262,0.230414747
2月7日,黑龙江,295,12,5,18,0,2,278,0.06870229
2月8日,黑龙江,307,14,6,12,2,1,287,0.043165468
2月9日,黑龙江,331,15,7,24,1,1,309,0.083623693
2月10日,黑龙江,360,27,8,29,12,1,325,0.093851133
2月11日,黑龙江,378,28,8,18,1,0,342,0.055384615
2月12日,黑龙江,395,31,9,17,3,1,355,0.049707602
2月13日,黑龙江,418,37,11,23,6,2,370,0.064788732
2月14日,黑龙江,425,48,11,7,11,0,366,0.018918919
2月15日,黑龙江,445,70,11,20,22,0,364,0.054644809
1月21日,湖北,444,0,17,0,0,0,427,0
1月22日,湖北,444,28,17,0,28,0,399,0
1月23日,湖北,529,31,24,85,3,7,474,0.213032581
1月24日,湖北,730,32,39,201,1,15,659,0.424050633
1月25日,湖北,1052,42,52,322,10,13,958,0.48861912
1月26日,湖北,1423,44,76,371,2,24,1303,0.387265136
1月27日,湖北,2714,47,100,1291,3,24,2567,0.990790483
1月28日,湖北,3554,80,125,840,33,25,3349,0.32723023
1月29日,湖北,4903,90,162,1349,10,37,4651,0.402806808
1月30日,湖北,5806,116,204,903,26,42,5486,0.194151795
1月31日,湖北,7153,166,249,1347,50,45,6738,0.245534087
2月1日,湖北,9074,215,294,1921,49,45,8565,0.285099436
2月2日,湖北,11177,297,350,2103,82,56,10530,0.245534151
2月3日,湖北,13522,396,414,2345,99,64,12712,0.222697056
2月4日,湖北,16678,520,479,3156,124,65,15679,0.248269352
2月5日,湖北,19665,633,549,2987,113,70,18483,0.190509599
2月6日,湖北,22112,817,618,2447,184,69,20677,0.132391928
2月7日,湖北,24953,1115,699,2841,298,81,23139,0.137399042
2月8日,湖北,27100,1439,780,2147,324,81,24881,0.092787069
2月9日,湖北,29631,1795,871,2531,356,91,26965,0.101724207
2月10日,湖北,31728,2222,974,2097,427,103,28532,0.077767476
2月11日,湖北,33366,2639,1068,1638,417,94,29659,0.057409225
2月12日,湖北,47163,3172,1202,13797,533,134,42789,0.465187633
2月13日,湖北,51986,3862,1318,4823,690,116,46806,0.112715885
2月14日,湖北,54406,4774,1457,2420,912,139,48175,0.051702773
2月15日,湖北,56249,5623,1596,1843,849,139,49030,0.038256357
1月21日,湖南,4,0,0,0,0,0,4,0
1月22日,湖南,9,0,0,5,0,0,9,1.25
1月23日,湖南,24,0,0,15,0,0,24,1.666666667
1月24日,湖南,43,0,0,19,0,0,43,0.791666667
1月25日,湖南,69,0,0,26,0,0,69,0.604651163
1月26日,湖南,100,0,0,31,0,0,100,0.449275362
1月27日,湖南,143,0,0,43,0,0,143,0.43
1月28日,湖南,221,0,0,78,0,0,221,0.545454545
1月29日,湖南,277,2,0,56,2,0,275,0.253393665
1月30日,湖南,332,2,0,55,0,0,330,0.2
1月31日,湖南,389,5,0,57,3,0,384,0.172727273
2月1日,湖南,463,12,0,74,7,0,451,0.192708333
2月2日,湖南,521,21,0,58,9,0,500,0.128603104
2月3日,湖南,593,22,0,72,1,0,571,0.144
2月4日,湖南,661,35,0,68,13,0,626,0.119089317
2月5日,湖南,711,56,0,50,21,0,655,0.079872204
2月6日,湖南,772,112,0,61,56,0,660,0.093129771
2月7日,湖南,803,119,0,31,7,0,684,0.046969697
2月8日,湖南,838,159,1,35,40,1,678,0.051169591
2月9日,湖南,879,204,1,41,45,0,674,0.060471976
2月10日,湖南,912,213,1,33,9,0,698,0.048961424
2月11日,湖南,946,263,2,34,50,1,681,0.048710602
2月12日,湖南,968,312,2,22,49,0,654,0.032305433
2月13日,湖南,988,352,2,20,40,0,634,0.03058104
2月14日,湖南,1001,389,2,13,37,0,610,0.020504732
2月15日,湖南,1004,430,3,3,41,1,571,0.004918033
1月21日,吉林,0,0,0,0,0,0,0,0
1月22日,吉林,1,0,0,1,0,0,1,#DIV/0!
1月23日,吉林,3,0,0,2,0,0,3,2
1月24日,吉林,4,0,0,1,0,0,4,0.333333333
1月25日,吉林,4,0,0,0,0,0,4,0
1月26日,吉林,6,0,0,2,0,0,6,0.5
1月27日,吉林,8,0,0,2,0,0,8,0.333333333
1月28日,吉林,9,0,0,1,0,0,9,0.125
1月29日,吉林,14,1,0,5,1,0,13,0.555555556
1月30日,吉林,14,1,0,0,0,0,13,0
1月31日,吉林,17,1,0,3,0,0,16,0.230769231
2月1日,吉林,23,1,0,6,0,0,22,0.375
2月2日,吉林,31,1,0,8,0,0,30,0.363636364
2月3日,吉林,42,1,0,11,0,0,41,0.366666667
2月4日,吉林,54,1,0,12,0,0,53,0.292682927
2月5日,吉林,59,2,0,5,1,0,57,0.094339623
2月6日,吉林,65,4,1,6,2,1,60,0.105263158
2月7日,吉林,69,4,1,4,0,0,64,0.066666667
2月8日,吉林,78,5,1,9,1,0,72,0.140625
2月9日,吉林,80,12,1,2,7,0,67,0.027777778
2月10日,吉林,81,13,1,1,1,0,67,0.014925373
2月11日,吉林,83,18,1,2,5,0,64,0.029850746
2月12日,吉林,84,22,1,1,4,0,61,0.015625
2月13日,吉林,86,25,1,2,3,0,60,0.032786885
2月14日,吉林,88,25,1,2,0,0,62,0.033333333
2月15日,吉林,89,28,1,1,3,0,60,0.016129032
1月21日,江苏,0,0,0,0,0,0,0,0
1月22日,江苏,5,0,0,5,0,0,5,#DIV/0!
1月23日,江苏,9,0,0,4,0,0,9,0.8
1月24日,江苏,18,1,0,9,1,0,17,1
1月25日,江苏,31,1,0,13,0,0,30,0.764705882
1月26日,江苏,47,1,0,16,0,0,46,0.533333333
1月27日,江苏,70,1,0,23,0,0,69,0.5
1月28日,江苏,99,1,0,29,0,0,98,0.420289855
1月29日,江苏,129,1,0,30,0,0,128,0.306122449
1月30日,江苏,168,5,0,39,4,0,163,0.3046875
